MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Albert Street,EAST MELBOURNE,A,Apr-2025
Back Beach Road,VENTNOR,A,Sep-2024
Ballarat Road,BRAYBROOK,A,Jun-2025
Beaconsfield-Emerald Road,BEACONSFIELD,A,Apr-2025
Calder Highway,SEA LAKE,A,Mar-2025
Dendy Street,BRIGHTON,A,T
Ferntree Gully Road,FERNTREE GULLY,A,Mar-2025
Kangaroo Ground-St Andrews Road,SMITHS GULLY,A,Feb-2025
Maroondah Highway,YARCK,A,Oct-2024
Royal Parade,PARKVILLE,A,Jan-2025
Strzelecki Highway,BERRYS CREEK,A,Sep-2024
Strzelecki Highway,MIRBOO NORTH,A,Sep-2024
Swansea Road,LILYDALE,A,Jul-2024
Reid Parade,HASTINGS,AB,Sep-2024
Robinsons Road,LANGWARRIN,AB,Sep-2024
Webb Road,ROCHESTER,AB,Apr-2025
Aitken Boulevard,ROXBURGH PARK,ABC,Apr-2025
Albert Road,WARRAGUL,ABC,Dec-2024
Albion Street,BRUNSWICK WEST,ABC,Apr-2025
Ararat-Halls Gap Road,POMONAL,ABC,Oct-2024
Arthurs Creek Road,ARTHURS CREEK,ABC,Feb-2025
Balcombe Road,BEAUMARIS,ABC,T
Ballan Road,BATESFORD,ABC,Aug-2024
Ballan-Daylesford Road,BUNDING,ABC,Mar-2025
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,Mar-2025
Ballarat Road,MAIDSTONE,ABC,Jan-2025
Ballarto Road,SKYE,ABC,Sep-2024
Barry Road,COOLAROO,ABC,Apr-2025
Barwon Heads Road,CONNEWARRE,ABC,Aug-2024
Bass Highway,INVERLOCH,ABC,Sep-2024
Baxter-Tooradin Road,BAXTER,ABC,Sep-2024
Belgrave-Hallam Road,NARRE WARREN EAST,ABC,Jul-2024
Bells Avenue,KALKALLO,ABC,Apr-2025
Benalla-Yarrawonga Road,GOORAMBAT,ABC,T
Benalla-Yarrawonga Road,YARRAWONGA,ABC,Apr-2025
Bendigo-Murchison Road,WANALTA,ABC,Apr-2025
Benetook Avenue,MILDURA SOUTH,ABC,Apr-2025
Bengworden Road,CLYDEBANK,ABC,May-2025
Bergins Road,ROWVILLE,ABC,Mar-2025
Bluff Road,HAMPTON,ABC,T
Bluff Road,SANDRINGHAM,ABC,T
Broken River Drive,SHEPPARTON,ABC,May-2025
Brossard Road,MICKLEHAM,ABC,Apr-2025
Burwood Highway,KNOXFIELD,ABC,Mar-2025
Calder Highway,OUYEN,ABC,Apr-2025
Cameron Parade,BUNDOORA,ABC,Feb-2025
Cape Otway Road,BIRREGURRA,ABC,Aug-2024
Cape Otway Road,WINCHELSEA,ABC,Aug-2024
Carrick Drive,GLADSTONE PARK,ABC,Apr-2025
Cooper Street,SOMERTON,ABC,Apr-2025
Cornwall Road,SUNSHINE,ABC,May-2025
Cowra Avenue,IRYMPLE,ABC,Apr-2025
Cowra Avenue,MILDURA,ABC,Apr-2025
Cranbourne-Frankston Road,LANGWARRIN,ABC,Sep-2024
Dandenong Road East,FRANKSTON,ABC,Sep-2024
Dartmoor-Hamilton Road,YULECART,ABC,Apr-2025
Deakin Avenue,MILDURA,ABC,Apr-2025
Dendy Street,BRIGHTON EAST,ABC,T
Donnybrook Road,MICKLEHAM,ABC,Apr-2025
Dorset Road,CROYDON,ABC,Jul-2024
Dundas Street,PRESTON,ABC,Feb-2025
Dunne Street,KINGSBURY,ABC,Feb-2025
Dunns Creek Road,DROMANA,ABC,Sep-2024
Eastbourne Road,ROSEBUD,ABC,Sep-2024
